reporting_year,facility_id,facility_name,city,state,zip_code,latitude,longitude,primary_naics_code,industry_type_subparts,industry_type_sectors,total_reported_direct_emissions_mtco2e,continuous_emissions_monitoring,source_system,evidence_class,data_classification
2023,1003052,GERDAU - FORT SMITH MILL,FORT SMITH,AR,72916,35.3025,-94.375278,331110,"C,Q",Metals,76305.292,N,US EPA GHGRP,PUBLIC_GOVERNMENT_FACILITY_REFERENCE,PUBLIC_ENVIRONMENTAL_REPORTING
2023,1003058,Oaktown Fuels Mine No.1,Oaktown,IN,47561,38.85679,-87.42362,212115,FF,Other,728930.85,N,US EPA GHGRP,PUBLIC_GOVERNMENT_FACILITY_REFERENCE,PUBLIC_ENVIRONMENTAL_REPORTING
2023,1003059,Steel Dynamics,Terre Haute,IN,47802,39.34439,-87.42121,331221,C,Metals,28236.744,N,US EPA GHGRP,PUBLIC_GOVERNMENT_FACILITY_REFERENCE,PUBLIC_ENVIRONMENTAL_REPORTING
2023,1003061,Cargill Incorporated,CEDAR RAPIDS,IA,52402,41.983851,-91.667123,311224,C,Other,35610.916,N,US EPA GHGRP,PUBLIC_GOVERNMENT_FACILITY_REFERENCE,PUBLIC_ENVIRONMENTAL_REPORTING
2023,1003062,PANHANDLE EASTERN PIPE LINE CO - CENTRALIA,CENTRALIA,MO,65240,39.136636,-92.139329,486210,"C,W-NGTC",Petroleum and Natural Gas Systems,38007.786,N,US EPA GHGRP,PUBLIC_GOVERNMENT_FACILITY_REFERENCE,PUBLIC_ENVIRONMENTAL_REPORTING
2023,1003063,MERCURY MARINE FOND DU LAC COMPLEX,FOND DU LAC,WI,54936,43.759661,-88.468509,333618,C,Other,33504.346,N,US EPA GHGRP,PUBLIC_GOVERNMENT_FACILITY_REFERENCE,PUBLIC_ENVIRONMENTAL_REPORTING
2023,1003064,PANHANDLE EASTERN PIPE LINE CO - HAVEN,HAVEN,KS,67543,37.906471,-97.808152,486210,"C,W-NGTC",Petroleum and Natural Gas Systems,54568.966,N,US EPA GHGRP,PUBLIC_GOVERNMENT_FACILITY_REFERENCE,PUBLIC_ENVIRONMENTAL_REPORTING
2023,1003067,GCC RIO GRANDE INC,PUEBLO,CO,81004,38.129058,-104.606741,327310,"C,H",Minerals,608676.634,Y,US EPA GHGRP,PUBLIC_GOVERNMENT_FACILITY_REFERENCE,PUBLIC_ENVIRONMENTAL_REPORTING
2023,1003068,PANHANDLE EASTERN PIPE LINE CO - LIBERAL,LIBERAL,KS,67901,37.099789,-100.76002,486210,"C,W-NGTC",Petroleum and Natural Gas Systems,38343.94,N,US EPA GHGRP,PUBLIC_GOVERNMENT_FACILITY_REFERENCE,PUBLIC_ENVIRONMENTAL_REPORTING
2023,1003069,PANHANDLE EASTERN PIPE LINE CO - LOUISBURG,LOUISBURG,KS,66053,38.600183,-94.673271,486210,"C,W-NGTC",Petroleum and Natural Gas Systems,41122.794,N,US EPA GHGRP,PUBLIC_GOVERNMENT_FACILITY_REFERENCE,PUBLIC_ENVIRONMENTAL_REPORTING
2023,1003081,"ALPEK POLYESTER MISSISSIPPI, INC.",BAY SAINT LOUIS,MS,39520,30.233028,-89.561667,325211,C,Other,56461.488,N,US EPA GHGRP,PUBLIC_GOVERNMENT_FACILITY_REFERENCE,PUBLIC_ENVIRONMENTAL_REPORTING
2023,1003082,AVINGER GAS PLANT,Avinger,TX,75630,32.872582,-94.584072,211130,"C,W-PROC",Petroleum and Natural Gas Systems,27656.376,N,US EPA GHGRP,PUBLIC_GOVERNMENT_FACILITY_REFERENCE,PUBLIC_ENVIRONMENTAL_REPORTING
2023,1003083,JACKALOPE TREATER,MIRANDO CITY,TX,78369,27.2567,-98.9001,211130,"C,W-PROC",Petroleum and Natural Gas Systems,49805.414,N,US EPA GHGRP,PUBLIC_GOVERNMENT_FACILITY_REFERENCE,PUBLIC_ENVIRONMENTAL_REPORTING
2023,1003084,"Vicinity Energy Trenton, L.P.",Trenton,NJ,08608,40.216903,-74.765378,221330,C,Power Plants,26809.4,N,US EPA GHGRP,PUBLIC_GOVERNMENT_FACILITY_REFERENCE,PUBLIC_ENVIRONMENTAL_REPORTING
2023,1003085,STATION #8 - CORONA CMP STN,CAPITAN,NM,88316,33.009293,-105.475945,486210,"C,W-NGTC",Petroleum and Natural Gas Systems,28329.958,N,US EPA GHGRP,PUBLIC_GOVERNMENT_FACILITY_REFERENCE,PUBLIC_ENVIRONMENTAL_REPORTING
2023,1003087,SIMPLOT PHOSPHATES,ROCK SPRINGS,WY,82901,41.53841,-109.12746,325312,"C,G,Z",Chemicals,473443.868,N,US EPA GHGRP,PUBLIC_GOVERNMENT_FACILITY_REFERENCE,PUBLIC_ENVIRONMENTAL_REPORTING
2023,1003092,Pine Prairie Energy Center,Ville Platte,LA,70586,30.736948,-92.341887,486210,"C,W-UNSTG",Petroleum and Natural Gas Systems,28652.946,N,US EPA GHGRP,PUBLIC_GOVERNMENT_FACILITY_REFERENCE,PUBLIC_ENVIRONMENTAL_REPORTING
2023,1003093,NUCOR STEEL MEMPHIS INC,MEMPHIS,TN,38109,35.04991,-90.15314,331110,"C,Q",Metals,141215.124,Y,US EPA GHGRP,PUBLIC_GOVERNMENT_FACILITY_REFERENCE,PUBLIC_ENVIRONMENTAL_REPORTING
2023,1003094,PATTERSON GAS PROCESSING PLANT,Patterson,LA,70392,29.713006,-91.308369,211130,"C,W-PROC",Petroleum and Natural Gas Systems,31502.904,N,US EPA GHGRP,PUBLIC_GOVERNMENT_FACILITY_REFERENCE,PUBLIC_ENVIRONMENTAL_REPORTING
2023,1003096,"KAAPA Ethanol Ravenna, LLC",RAVENNA,NE,68869,41.023749,-98.87511,325193,"C,II","Other,Waste",186225.248,N,US EPA GHGRP,PUBLIC_GOVERNMENT_FACILITY_REFERENCE,PUBLIC_ENVIRONMENTAL_REPORTING
2023,1003097,TRINIDAD GAS PROCESSING PLANT,TRINIDAD,TX,75163,32.127458,-96.085153,211130,"C,W-PROC",Petroleum and Natural Gas Systems,65802.654,N,US EPA GHGRP,PUBLIC_GOVERNMENT_FACILITY_REFERENCE,PUBLIC_ENVIRONMENTAL_REPORTING
